spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
0,0,1,0,1,1/4/2012 5:19,0,0,0,no,0,0,0,21.705,551,1,1,0,0,8,small
0,0,1,0,0,2/16/2012 12:10,0,0,0,no,0,0,0,7.011,183,1,0,0,0,1,big
1,0,1,4,0,1/4/2012 7:36,0,2,0,no,0,0,0,0.631,28,0,0,0,0,2,none
0,0,1,0,0,1/4/2012 9:49,0,0,0,no,0,0,0,2.454,61,0,0,0,0,1,small
0,0,1,0,0,1/27/2012 1:34,0,0,9,no,0,0,1,41.623,1088,1,0,0,0,43,small
0,0,1,0,0,1/17/2012 9:31,0,0,0,no,0,0,0,0.057,5,0,0,0,0,0,small
0,0,1,0,0,3/17/2012 21:18,0,0,0,no,0,0,0,0.809,17,0,0,0,0,0,small
0,0,1,0,1,3/31/2012 6:58,0,0,0,no,0,0,0,5.229,88,1,1,0,0,2,small
0,0,1,1,1,1/10/2012 17:57,0,0,0,no,0,0,0,9.277,242,1,1,1,0,22,small
0,0,1,0,0,1/7/2012 11:29,0,0,23,no,0,0,0,17.17,578,1,0,0,0,3,small
0,0,1,0,0,2/22/2012 16:57,0,0,4,no,0,0,0,64.401,1167,1,0,0,0,13,small
0,0,1,0,0,2/4/2012 15:26,0,0,0,no,0,0,2,10.368,198,1,0,0,0,1,big
1,0,1,0,0,1/24/2012 8:15,0,0,3,yes,0,0,0,42.793,712,1,0,0,0,2,big
1,1,1,0,0,2/8/2012 18:22,0,2,2,no,0,0,0,0.451,24,0,0,0,0,2,small
0,0,1,0,0,3/9/2012 10:46,0,0,0,no,0,0,0,29.233,604,1,0,0,0,21,small
0,0,1,0,1,1/12/2012 8:17,0,0,0,no,0,0,0,9.794,197,1,1,0,0,10,small
0,0,1,0,1,1/31/2012 11:44,0,0,0,no,0,0,0,2.139,60,1,1,0,0,0,small
1,0,1,0,0,3/20/2012 19:00,0,1,0,no,0,0,0,0.13,5,0,0,0,0,0,none
0,0,1,1,1,1/3/2012 11:39,0,0,0,no,0,0,8,4.945,120,1,0,0,0,2,small
0,1,1,4,0,3/28/2012 17:48,0,0,2,no,0,0,0,11.533,291,1,1,0,0,4,small
0,0,1,0,0,1/9/2012 7:04,0,0,0,no,0,0,0,5.682,87,1,0,0,0,0,small
0,0,1,0,0,1/14/2012 2:07,0,0,0,no,0,0,0,6.768,81,1,0,0,0,3,small
0,0,1,0,1,3/24/2012 8:00,0,0,0,no,0,0,0,0.086,5,0,0,1,0,0,none
0,0,1,2,1,1/12/2012 13:43,0,0,0,no,0,0,0,3.07,65,1,1,0,0,0,small
0,0,1,0,0,3/2/2012 11:05,0,0,2,no,0,0,0,26.52,692,1,0,1,0,7,big
0,0,1,0,0,2/15/2012 20:01,0,0,0,no,0,0,0,26.255,654,1,0,0,0,1,small
0,0,1,0,1,2/9/2012 5:51,0,0,0,no,0,0,0,5.259,140,1,1,0,0,8,small
0,1,1,5,0,1/23/2012 6:03,0,0,0,no,0,0,0,2.78,69,0,1,0,0,1,small
0,0,1,0,1,2/1/2012 8:12,0,0,0,no,0,0,0,5.864,142,1,1,0,0,6,small
0,1,1,0,0,3/23/2012 10:42,0,0,0,no,0,0,0,9.928,219,1,0,0,0,4,small
0,0,1,0,0,2/14/2012 5:43,0,0,0,no,0,0,2,25.209,725,1,0,0,0,2,small
0,0,1,0,0,1/19/2012 15:33,0,0,0,no,0,0,0,6.563,140,1,0,0,0,2,big
0,0,1,0,0,1/21/2012 9:35,0,0,0,no,0,0,0,24.599,621,1,0,0,0,1,small
0,0,1,0,0,1/25/2012 14:37,0,0,0,no,0,0,0,25.757,645,1,0,0,0,1,small
0,1,1,0,0,3/6/2012 9:03,0,0,0,no,0,0,0,0.409,13,0,0,0,0,1,small
0,0,1,0,1,3/25/2012 14:08,0,0,0,no,0,0,0,11.223,512,1,0,0,0,9,big
0,0,1,0,0,2/14/2012 16:17,0,0,0,no,0,0,0,3.778,98,1,0,0,0,0,small
0,0,1,0,0,3/1/2012 2:00,0,0,0,no,0,0,2,1.493,35,0,0,0,0,1,none
0,0,1,0,0,2/10/2012 10:34,0,0,0,no,0,0,8,10.613,225,1,0,0,0,9,big
0,0,1,0,1,1/12/2012 13:44,0,0,0,no,0,0,0,0.493,13,1,0,0,0,0,none
0,1,1,0,0,1/6/2012 12:14,0,0,0,no,0,0,0,4.415,61,0,0,0,0,1,small
0,0,1,1,1,3/21/2012 8:39,0,0,0,no,0,0,0,14.156,300,1,1,0,0,0,small
0,0,1,0,1,2/13/2012 12:19,0,0,0,no,0,0,0,9.491,233,1,1,0,0,18,small
0,0,1,0,0,1/25/2012 14:18,0,0,0,no,0,0,0,24.837,629,1,0,0,0,1,small
0,0,1,0,0,1/24/2012 15:44,0,0,0,no,0,0,0,0.684,17,1,0,0,0,1,small
1,0,1,0,0,2/29/2012 15:36,0,0,0,no,0,0,0,13.502,193,0,0,0,0,1,none
0,1,1,0,0,3/6/2012 6:10,0,0,0,no,0,0,0,2.789,44,0,0,0,0,0,small
0,0,1,0,1,3/14/2012 10:08,0,0,0,no,0,0,0,1.169,35,1,1,0,0,0,small
0,0,1,1,1,2/10/2012 8:27,0,0,0,no,0,0,0,8.937,211,1,1,0,0,2,small
0,0,1,0,0,1/4/2012 10:27,0,0,0,no,0,0,0,15.829,242,1,0,0,0,4,small
